gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
parameter_name,CD8+ KLRG1+ alpha beta T cell number
pvalue,0.3803677
analysis_id,g13u461e3zs5hnb
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_033_001
