analysis_id,i8n311484myy742
gene_symbol,Wars2
parameter_id,MGP_PBI_032_001
mouse_life_stage,E9.5
parameter_name,CD4+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:1917810
pvalue,0.1243115
mouse_strain,C57BL
