analysis_id,n5c64t0of8o9d8r
mouse_strain,C57BL
gene_symbol,Dmap1
pvalue,0.7644428
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
parameter_id,IMPC_FEA_107_001
