analysis_id,nf6l6ix5021glv9
parameter_id,M-G-P_005_001_004
pvalue,0.7653043
gene_symbol,Arpc2
mouse_strain,129SV
gene_accession_id,MGI:1923959
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,Early adult
