analysis_id,iglg612424258j0
gene_symbol,Dmap1
pvalue,0.3938031
parameter_id,JAX_OFD_013_001
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Periphery average speed
gene_accession_id,MGI:1913483
