gene_symbol,Atg4c
pvalue,0.7794666
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
parameter_id,TCPLA_CSD_030_001
parameter_name,Tremor
analysis_id,5t5uur5t3031b11
mouse_strain,C57BL
