parameter_name,Forebrain
pvalue,0.4593045
gene_symbol,Arnt
analysis_id,m95h6483211o2em
parameter_id,IMPC_GEL_028_001
gene_accession_id,MGI:88071
mouse_strain,C57BL
mouse_life_stage,Early adult
