analysis_id,q0uv64038175ox5
gene_symbol,Sgip1
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
parameter_id,MGP_IMM_022_001
mouse_life_stage,Early adult
pvalue,0.3113211
gene_accession_id,MGI:1920344
