analysis_id,7su36vps18d1jan
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
parameter_name,CD11b-high cDC - % of cDC
gene_symbol,Secisbp2l
pvalue,0.4371629
parameter_id,MGP_IMM_066_001
