analysis_id,8f6209iej8my7f5
parameter_id,MGP_CSD_008_001
gene_symbol,Traf6
parameter_name,Startle response
mouse_strain,C57BL
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
pvalue,0.5743784
