analysis_id,91c89m5ax5721m9
gene_symbol,Rgs20
pvalue,0.710462
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
parameter_name,Stroke Volume
mouse_strain,C57BL
