analysis_id,72bej806r6f793q
parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
parameter_name,Chloride
pvalue,0.2842755
mouse_strain,C57BL
gene_accession_id,MGI:1914437
gene_symbol,Zmynd19
