analysis_id,7l9c25v3402416u
gene_accession_id,MGI:88174
parameter_name,Fractional Shortening
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
pvalue,0.4696215
gene_symbol,Bmi1
mouse_life_stage,E15.5
