gene_symbol,Slx4ip
parameter_name,Center average speed
mouse_strain,C57BL
pvalue,0.91554
analysis_id,9z7sf05vv4012ig
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
parameter_id,JAX_OFD_017_001
