gene_symbol,Atg4c
parameter_id,MGP_PBI_035_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
analysis_id,06b8m05tm18c108
parameter_name,IgD+ mature B cell number
pvalue,0.2621648
mouse_strain,C57BL
