parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
gene_symbol,Snrpb2
pvalue,0.4720313
mouse_strain,C57BL
analysis_id,k1rt9l47n864w3z
gene_accession_id,MGI:104805
