analysis_id,7h69528610m40tu
mouse_life_stage,E9.5
pvalue,0.6202663
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_033_001
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
