gene_symbol,F2
mouse_strain,C57BL
pvalue,0.6060487
parameter_id,IMPC_IMM_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
analysis_id,163apj34p6jp6s6
parameter_name,NKT cells (panel A)
