analysis_id,6h613xx15pu02y2
gene_accession_id,MGI:1923959
parameter_id,MGP_IMM_073_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_symbol,Arpc2
pvalue,0.3448282
