analysis_id,271c7ngewyf75py
gene_accession_id,MGI:99605
gene_symbol,Cntfr
parameter_id,IMPC_LDT_006_001
mouse_life_stage,Early adult
pvalue,0.1775993
mouse_strain,129SV
parameter_name,Latency to first transition into dark
