analysis_id,0d18wk5931kop81
parameter_id,MGP_PBI_003_001
pvalue,0.09177762
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
gene_symbol,Hpca
