parameter_name,Total cholesterol
gene_accession_id,MGI:105072
gene_symbol,Rab22a
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2551971
analysis_id,hubvy1k7uh2t0f3
parameter_id,IMPC_CBC_015_001
