mouse_life_stage,Late adult
analysis_id,kc2i24q044l8sre
gene_accession_id,MGI:1345282
parameter_name,Ulna
parameter_id,IMPC_XRY_023_001
pvalue,0.2927956
mouse_strain,C57BL
gene_symbol,Slc30a4
