parameter_name,Eosinophil cell count
gene_accession_id,MGI:1336200
mouse_strain,C57BL
gene_symbol,Hpca
pvalue,0.7598277
analysis_id,17gy6i4583q6189
parameter_id,IMPC_HEM_036_001
mouse_life_stage,Late adult
