analysis_id,q93j1jfrck42287
gene_symbol,Slc17a9
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_005_002
mouse_strain,C57BL
gene_accession_id,MGI:1919107
mouse_life_stage,Early adult
pvalue,0.7903948
