gene_symbol,Extl1
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
analysis_id,zm5dp4k18153ze2
pvalue,0.09011628
gene_accession_id,MGI:1888742
parameter_name,Triglycerides
