parameter_name,Center average speed
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_017_001
analysis_id,7z43zvfi89tc04b
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
pvalue,0.8781045
mouse_strain,C57BL
