analysis_id,juo59ft8hy6d791
mouse_life_stage,E12.5
pvalue,0.9005242
parameter_name,HDL-cholesterol
parameter_id,IMPC_CBC_016_001
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_strain,C57BL
