gene_symbol,Secisbp2l
parameter_id,IMPC_OFD_017_001
analysis_id,77ptt70ec363p08
parameter_name,Center average speed
gene_accession_id,MGI:1917604
mouse_life_stage,Early adult
pvalue,0.06139518
mouse_strain,C57BL
