parameter_name,Head coat/hair presence
gene_accession_id,MGI:95835
mouse_strain,C57BL
gene_symbol,Hspa5
analysis_id,5o05v2mwcm6wme8
pvalue,0.7264457
mouse_life_stage,E9.5
parameter_id,MGP_CSD_015_001
