parameter_id,IMPC_GPO_002_001
analysis_id,eq2l68384ttn803
gene_accession_id,MGI:2446274
parameter_name,Placenta Morphology
mouse_life_stage,Late adult
gene_symbol,Frmpd1
pvalue,0.0788194
mouse_strain,C57BL
