analysis_id,3b4ky73333u23gv
gene_symbol,Gja10
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Mean left eye lens density
gene_accession_id,MGI:1339969
parameter_id,IMPC_EYE_056_001
pvalue,0.522263
