parameter_name,Mean platelet volume
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_019_001
analysis_id,ds89lycys4rlr4u
pvalue,0.3567011
mouse_strain,C57BL
