parameter_name,Number of centre entries
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
parameter_id,ESLIM_007_001_015
mouse_life_stage,Early adult
pvalue,0.9591117
analysis_id,93qre0r6f05f160
mouse_strain,C57BL
