analysis_id,4ng748c0x0784x2
gene_symbol,Hpca
pvalue,0.3359127
mouse_strain,C57BL
parameter_name,Naive CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_015_001
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
