analysis_id,4px4r2u3x798iz7
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
pvalue,0.8439352
parameter_id,IMPC_DXA_007_001
mouse_strain,C57BL
parameter_name,BMC/Body weight
gene_symbol,Ola1
