gene_symbol,Rab22a
gene_accession_id,MGI:105072
parameter_name,Click-evoked ABR threshold
pvalue,0.1817118
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,8pi7xk05ezw88cu
parameter_id,IMPC_ABR_002_001
