parameter_name,Body Weight
analysis_id,sg6k8934w97o54h
mouse_strain,C57BL
gene_accession_id,MGI:3616086
gene_symbol,Kcng1
mouse_life_stage,Early adult
parameter_id,M-G-P_012_001_005
pvalue,0.5252297
