analysis_id,o58j47x1w3748ju
parameter_name,Total B cells - % of CD45+
pvalue,0.9433886
gene_symbol,Slc45a3
parameter_id,MGP_IMM_041_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1922082
