analysis_id,1n5x9nku3m3w80s
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444114
parameter_id,MGP_MLN_058_001
parameter_name,Plasmacytoid DC - % of DC
gene_symbol,Zcchc2
pvalue,0.3728562
