analysis_id,93l7r1bgq2en81v
mouse_life_stage,Early adult
gene_accession_id,MGI:88328
pvalue,0.836165
mouse_strain,C57BL
parameter_id,M-G-P_013_001_001
gene_symbol,Tnfsf8
parameter_name,Eye
