analysis_id,49k7ei1bde9d8x6
mouse_life_stage,Early adult
parameter_name,Percentage center time
mouse_strain,C57BL
pvalue,0.5601549
gene_symbol,Snrpb2
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:104805
