gene_symbol,Atrn
gene_accession_id,MGI:1341628
mouse_strain,C57BL
parameter_name,Vocalization
pvalue,0.2192749
analysis_id,qb4cu4f22h586k9
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Early adult
