gene_symbol,Ntmt2
mouse_strain,C57BL
parameter_name,Periphery average speed
parameter_id,JAX_OFD_013_001
analysis_id,0wcfrto6ao3n9om
mouse_life_stage,Early adult
pvalue,0.7099127
gene_accession_id,MGI:2685053
