gene_symbol,Eprs1
analysis_id,lnr020520tttl7j
mouse_strain,C57BL
pvalue,0.4088787
parameter_name,Distance travelled - total
gene_accession_id,MGI:97838
parameter_id,JAX_OFD_020_001
mouse_life_stage,E9.5
