analysis_id,7h5rh5trxy2kuw0
gene_symbol,Extl1
mouse_strain,C52BL
mouse_life_stage,Early adult
pvalue,0.5588944
parameter_id,ESLIM_016_001_003
parameter_name,Haemoglobin
gene_accession_id,MGI:1888742
