analysis_id,ncb8c9483g0ux2a
pvalue,0.5947063
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
gene_symbol,Ints7
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
parameter_name,Sacral processes
