parameter_name,Tremor
parameter_id,TCPLA_CSD_030_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cldn19
pvalue,0.6621713
gene_accession_id,MGI:3033992
analysis_id,44qa0559x1u2035
