gene_symbol,Zmynd8
parameter_name,Number of rears - total
mouse_life_stage,Early adult
pvalue,0.3283793
gene_accession_id,MGI:1918025
parameter_id,JAX_OFD_021_001
analysis_id,7x2lz60496r789v
mouse_strain,129SV
