analysis_id,bwzu2q32247j9d9
gene_symbol,Pglyrp3
mouse_strain,C57BL
parameter_id,JAXLA_DXA_003_001
pvalue,0.3826131
parameter_name,Lean mass
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
