gene_symbol,Gja10
pvalue,0.5948377
parameter_name,Midbrain
mouse_strain,C57BL
parameter_id,IMPC_GEL_029_001
mouse_life_stage,Early adult
analysis_id,790mz68e5j827w9
gene_accession_id,MGI:1339969
