parameter_name,Distance travelled - total
pvalue,0.7608194
mouse_life_stage,Early adult
analysis_id,1puv83dyb5471h8
parameter_id,IMPC_OFD_020_001
mouse_strain,129SV
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
