analysis_id,kx28375035539l4
gene_accession_id,MGI:1339969
pvalue,0.42603
parameter_id,IMPC_CSD_029_001
gene_symbol,Gja10
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Activity (body position)
