parameter_name,Delayed embryonic development
analysis_id,slchxolm56kl281
mouse_life_stage,Early adult
gene_symbol,Sgip1
mouse_strain,C57BL
parameter_id,IMPC_GEL_063_001
pvalue,0.7105426
gene_accession_id,MGI:1920344
