gene_symbol,Rab13
parameter_id,JAX_SLW_013_001
pvalue,0.3501916
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
analysis_id,689i5kw9a1201l0
