gene_symbol,AU040320
parameter_name,Retina (combined)
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
analysis_id,5mkz3q386n621s1
parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
pvalue,0.3252195
