parameter_id,MGP_IMM_070_001
gene_accession_id,MGI:88174
pvalue,0.6093377
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
analysis_id,717wbj369d18571
mouse_life_stage,E15.5
gene_symbol,Bmi1
