analysis_id,47h3ny2nb88802a
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
pvalue,0.9404941
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
