parameter_name,Limb coat/hair presence
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
analysis_id,z1u28f069kf1d71
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
pvalue,0.4160475
