analysis_id,w4sh28a428m5m67
gene_symbol,Tox
gene_accession_id,MGI:2181659
parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.3587691
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Early adult
mouse_strain,C57BL
