analysis_id,4dxcc7uj6pp6f1c
pvalue,0.4617811
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_033_001
parameter_name,% Pre-pulse inhibition - PPI1
gene_symbol,Ints7
mouse_strain,C57BL
gene_accession_id,MGI:1924315
