analysis_id,kizxq8ose8v1z92
gene_accession_id,MGI:2673000
gene_symbol,Trim46
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.7822192
mouse_life_stage,Early adult
parameter_id,MGP_MLN_013_001
