analysis_id,7enj9ua8ncs3735
parameter_name,Right total retinal thickness
parameter_id,IMPC_EYE_062_001
mouse_life_stage,Middle aged adult
pvalue,0.1917301
mouse_strain,C57BL
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
