analysis_id,f8r988a6zliux36
pvalue,0.8446614
parameter_id,MGP_PBI_010_001
mouse_life_stage,Early adult
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_strain,C57BL
